,is_trade,l1_name,l2_name,l3_name,stock_code,name,mc,beta
98,0,医药生物,中药Ⅱ,中药Ⅲ,002433,*ST太安,0.03866666666666667,0.10933333333333334
99,0,医药生物,中药Ⅱ,中药Ⅲ,300108,*ST吉药,0.037333333333333336,0.2793333333333333
100,0,医药生物,中药Ⅱ,中药Ⅲ,600671,*ST目药,0.024666666666666667,0.24133333333333334
101,0,医药生物,中药Ⅱ,中药Ⅲ,836433,大唐药业,0.020666666666666667,0.17066666666666666
102,0,医药生物,中药Ⅱ,中药Ⅲ,833266,生物谷,0.02,0.17866666666666667
103,0,医药生物,中药Ⅱ,中药Ⅲ,002118,*ST紫鑫,0.008,0.30733333333333335
104,1,医药生物,化学制药,化学制剂,600276,恒瑞医药,0.9933333333333333,0.6653333333333333
105,1,医药生物,化学制药,化学制剂,600196,复星医药,0.9506666666666667,0.462
106,1,医药生物,化学制药,化学制剂,000963,华东医药,0.942,0.528
107,1,医药生物,化学制药,化学制剂,002422,科伦药业,0.9086666666666666,0.326
108,1,医药生物,化学制药,化学制剂,600079,人福医药,0.906,0.176
109,1,医药生物,化学制药,化学制剂,002294,信立泰,0.8846666666666667,0.15466666666666667
110,1,医药生物,化学制药,化学制剂,000513,丽珠集团,0.8793333333333333,0.228
111,0,医药生物,化学制药,化学制剂,688506,百利天恒-U,0.8506666666666667,0.084
112,1,医药生物,化学制药,化学制剂,002262,恩华药业,0.85,0.10733333333333334
113,1,医药生物,化学制药,化学制剂,600521,华海药业,0.8326666666666667,0.37666666666666665
114,1,医药生物,化学制药,化学制剂,002653,海思科,0.82,0.23733333333333334
115,1,医药生物,化学制药,化学制剂,600380,健康元,0.8166666666666667,0.49466666666666664
116,1,医药生物,化学制药,化学制剂,300558,贝达药业,0.7733333333333333,0.416
117,0,医药生物,化学制药,化学制剂,301301,川宁生物,0.7713333333333333,0.06333333333333334
118,0,医药生物,化学制药,化学制剂,688428,诺诚健华-U,0.768,0.2966666666666667
119,1,医药生物,化学制药,化学制剂,603707,健友股份,0.76,0.31866666666666665
120,1,医药生物,化学制药,化学制剂,600062,华润双鹤,0.7386666666666667,0.09133333333333334
121,1,医药生物,化学制药,化学制剂,002773,康弘药业,0.7286666666666667,0.086
122,1,医药生物,化学制药,化学制剂,300573,兴齐眼药,0.7253333333333334,0.03933333333333333
123,1,医药生物,化学制药,化学制剂,002019,亿帆医药,0.7213333333333334,0.7626666666666667
124,0,医药生物,化学制药,化学制剂,688192,迪哲医药-U,0.6993333333333334,0.35533333333333333
125,1,医药生物,化学制药,化学制剂,600420,国药现代,0.6826666666666666,0.44333333333333336
126,1,医药生物,化学制药,化学制剂,600267,海正药业,0.6593333333333333,0.04933333333333333
127,0,医药生物,化学制药,化学制剂,688266,泽璟制药-U,0.6493333333333333,0.12666666666666668
128,1,医药生物,化学制药,化学制剂,300723,一品红,0.644,0.03866666666666667
129,1,医药生物,化学制药,化学制剂,002675,东诚药业,0.624,0.10466666666666667
130,1,医药生物,化学制药,化学制剂,688578,艾力斯,0.62,0.16
131,0,医药生物,化学制药,化学制剂,688091,上海谊众,0.6146666666666667,0.21533333333333332
132,1,医药生物,化学制药,化学制剂,002020,京新药业,0.6053333333333333,0.168
133,1,医药生物,化学制药,化学制剂,688658,悦康药业,0.602,0.862
134,0,医药生物,化学制药,化学制剂,002004,华邦健康,0.5813333333333334,0.44066666666666665
135,1,医药生物,化学制药,化学制剂,300199,翰宇药业,0.578,0.006
136,0,医药生物,化学制药,化学制剂,600812,华北制药,0.5673333333333334,0.116
137,1,医药生物,化学制药,化学制剂,300705,九典制药,0.5593333333333333,0.20333333333333334
